Family,Species,Mass,Temp,BMR
Antilocapridae,Antilocapra americana,37800,,9318
Bovidae,Connochaetes taurinus,196500,,41242
Bovidae,Ovis canadensis,69125,,19120
Cervidae,Alces alces,325000,38.6,51419
Cervidae,Capreolus capreolus,21500,,8308
Cervidae,Odocoileus virginianus,58588,39,25609
Tayassuidae,Pecari tajacu,20500,37.5,5945
Canidae,Alopex lagopus,3600,38.6,1374
Canidae,Canis latrans,10000,37,2687
Canidae,Canis mesomelas,7720,38,3860
Canidae,Cerdocyon thous,5444,38.2,1524
Canidae,Fennecus zerda,1215,38.8,583
Canidae,Vulpes macrotis,1769,38,887
Canidae,Vulpes vulpes,4440,38.7,2442
Canidae,Vulpes vulpes alascensis,4725,,2481
Felidae,Acinonyx jubatus,37900,39,8982
Felidae,Felis concolor,37200,37.6,8842
Felidae,Felis pardalis,10500,38.0,3126
Felidae,Felis rufus,9400,,4220
Felidae,Felis serval,10100,36.5,3137
Felidae,Felis wiedii,3600,38.0,937
Felidae,Felis yagouaroundi,8400,38.4,1737
Felidae,Panthera leo,98000,37.9,16954
Felidae,Panthera onca,50400,,11189
Felidae,Panthera tigris,137900,37.5,23995
Callitrichidae,Callithrix jacchus,190,,152
Callitrichidae,Cebuella pygmaea,116.8,,117
Callitrichidae,Saguinus geoffroyi,225,,234
Cebidae,Alouatta palliata,4670,,2055
Cebidae,Aotus trivirgatus,820,38.0,442
Cebidae,Saimiri sciureus,875,38,801
Cercopithecidae,Cercopithecus mitis,8500,37.5,3392
Cercopithecidae,Colobus guereza,10450,37.0,2978
Cercopithecidae,Erythrocebus patas,3000,39.3,1068
Cercopithecidae,Papio anubis,9500,37.3,2778
Cercopithecidae,Papio ursinus,16900,37.0,5147
Cheirogaleidae,Cheirogaleus medius,300,38.0,195
Indriidae,Propithecus verreauxi,3350,,670
Lemuridae,Eulemur fulvus,2330,36.5,746
Lorisidae,Arctocebus calabarensis,206,,131
Lorisidae,Euoticus elegantulus,261.5,,216
Lorisidae,Galago moholi,170,,51
Lorisidae,Galago senegalensis,171.5,37.9,137
Lorisidae,Galagoides demidoff,63.8,,59
Lorisidae,Loris tardigradus,284,35.5,128
Lorisidae,Nycticebus coucang,1160,35.4,273
Lorisidae,Otolemur crassicaudatus,950,,412
Lorisidae,Otolemur garnettii,1314,,704
Lorisidae,Perodicticus potto,964,36.1,327
Tarsiidae,Tarsius syrichta,113,33.8,77
Tarsiidae,Tarsius spectrum,173,,149
,,580.7,36.7,325.07
Agoutidae,Agouti paca,9156,37.2,2746.8
Aplodontidae,Aplodontia rufa,630,38.0,277.2
Bathyergidae,Bathyergus janetta,406,34.7,215.2
Bathyergidae,Bathyergus suillus,620,35.3,303.8
Bathyergidae,Cryptomys bocagei,94,33.7,69.6
Bathyergidae,Cryptomys damarensis,138,35.2,78.7
Bathyergidae,Cryptomys darlingi,60,33.3,58.8
Bathyergidae,Cryptomys hottentotus,75,34.4,67.5
Bathyergidae,Cryptomys hottentotus amatus,79.5,35.0,55.5
Bathyergidae,Cryptomys hottentotus natalensis,102,,81.6
Bathyergidae,Cryptomys mechowi,267,34.0,160.2
Bathyergidae,Georychus capensis,195,36.4,115.7
Bathyergidae,Heliophobius argentocinereus,88,35.1,74.8
Bathyergidae,Heterocephalus glaber,32,32.1,20.5
Capromyidae,Capromys pilorides,2630,35.7,604.9
Capromyidae,Geocapromys ingrahami,775,,265.8
Capromyidae,Geocapromys brownii,2456,,736.8
Caviidae,Cavia porcellus,629,39,346.0
Caviidae,Dolichotis salinicola,1613,38.4,725.9
Caviidae,Galea musteloides,322,37.3,264.0
Caviidae,Kerodon ruprestris,801,38.2,360.5
Caviidae,Microcavia niata,255,,175.7
Chinchillidae,Chinchilla laniger,426,35.7,200.2
Chinchillidae,Lagostomus maximus,6784,36.8,1899.5
Ctenomyidae,Ctenomys australis,340,37.3,116.6
Ctenomyidae,Ctenomys fulvus,300,36.2,189.0
Ctenomyidae,Ctenomys maulinus,215,36.2,187.1
Ctenomyidae,Ctenomys opimus,214,36,109.7
Ctenomyidae,Ctenomys peruanus,490,35.2,220.5
Ctenomyidae,Ctenomys talarum,121,36.1,109.6
Dasyproctidae,Dasyprocta azarae,3849,37.5,1886.0
Dasyproctidae,Dasyprocta leporina,2687,38.3,1558.5
Dasyproctidae,Myoprocta acouchy,914,35.4,502.7
Dipodidae,Dipus sagitta?,160,36.8,121.2
Dipodidae,Jaculus jaculus,75,37.5,92.3
Dipodidae,Jaculus orientalis,139,37,139.0
Dipodidae,Napaeozapus insignis,22,37,39.6
Dipodidae,Sicista betulina,10,,32.0
Dipodidae,Zapus hudsonicus,23.8,37.3,35.7
Echimyidae,Proechimys semispinosus,498,37.9,313.7
Echimyidae,Thrichomys apereoides,323,37.6,206.7
Erethizontidae,Coendou prehensilis,3280,36.7,918.4
Erethizontidae,Erethizon dorsatum,11136,,2784.0
Geomyidae,Geomys bursaris,197,35.0,137.9
Geomyidae,Geomys pinetis,173,36.3,133.2
Geomyidae,Thomomys bottae,143,36.0,120.1
Geomyidae,Thomomys talpoides,106.8,36.2,142.0
